platform,content_type,day_of_week,hour,followers,hashtags,likes,comments,shares,reach,engagement_rate
TikTok,Text,Wednesday,19,1343,3,25,1,0,571,0.0298
Instagram,Carousel,Saturday,8,4043,9,34,2,1,1641,0.013
Instagram,Video,Sunday,13,3151,15,41,1,2,583,0.0195
Instagram,Text,Thursday,15,6566,7,39,3,2,3391,0.0106
Instagram,Image,Tuesday,17,11084,16,49,5,3,6315,0.0081
Facebook,Image,Sunday,6,1783,8,3,0,0,662,0.0024
Instagram,Carousel,Monday,1,486,9,2,0,0,240,0.0091
LinkedIn,Text,Tuesday,6,13318,10,356,20,11,6190,0.0516
LinkedIn,Text,Monday,11,1996,7,71,6,1,638,0.0699
Instagram,Text,Monday,10,31423,7,184,18,4,4351,0.0094
Instagram,Video,Tuesday,16,3243,14,35,2,2,850,0.0192
Instagram,Image,Saturday,6,4500,25,18,0,0,1389,0.0055
Instagram,Video,Thursday,9,3925,17,42,1,1,876,0.0173
LinkedIn,Carousel,Friday,9,9447,15,397,21,29,2076,0.0816
Instagram,Image,Saturday,9,44991,7,426,26,23,18750,0.0132
TikTok,Video,Monday,7,147378,26,2378,118,142,74389,0.027
TikTok,Video,Monday,17,20554,4,354,14,26,11071,0.0286
Instagram,Carousel,Tuesday,23,622,30,7,0,0,120,0.0154
Instagram,Carousel,Wednesday,20,32241,26,465,46,26,12585,0.0185
TikTok,Text,Monday,0,10532,21,61,3,3,2302,0.0084
TikTok,Carousel,Sunday,18,15171,15,206,10,10,8942,0.0197
TikTok,Text,Wednesday,19,489741,15,6401,608,189,54928,0.0234
LinkedIn,Video,Thursday,13,20140,23,1848,110,89,7776,0.1168
Twitter,Video,Friday,12,4147,5,6,0,0,1596,0.0025
Instagram,Image,Saturday,11,2246,9,17,0,1,845,0.0105
Instagram,Image,Tuesday,20,8399,15,144,12,8,4181,0.0233
Facebook,Video,Thursday,15,137905,10,602,71,41,73117,0.008
Instagram,Video,Sunday,11,8923,23,62,5,0,1122,0.0125
TikTok,Image,Sunday,7,1139,23,6,0,0,357,0.0103
LinkedIn,Video,Tuesday,7,13051,22,645,35,49,6120,0.0709
LinkedIn,Image,Sunday,4,1372,3,35,1,0,350,0.0433
Twitter,Video,Tuesday,18,3555,14,8,0,0,1931,0.0035
Instagram,Video,Wednesday,14,14875,5,179,15,2,5844,0.0232
Twitter,Image,Tuesday,15,11389,25,10,1,0,2315,0.0013
Instagram,Video,Saturday,1,12350,2,70,7,0,6264,0.0096
Instagram,Video,Friday,11,15882,16,183,14,9,7398,0.0184
Instagram,Video,Sunday,21,5845,23,96,3,7,2061,0.0227
Facebook,Video,Wednesday,6,4372,29,19,1,0,619,0.0062
Instagram,Image,Thursday,17,25745,24,214,15,3,9648,0.0158
TikTok,Text,Wednesday,18,9275,25,123,6,4,5063,0.0212
Instagram,Image,Saturday,23,923,25,5,0,0,265,0.0075
Instagram,Carousel,Saturday,18,2471,13,21,1,1,1162,0.0148
Facebook,Carousel,Sunday,18,16967,11,79,8,2,9868,0.008
Instagram,Text,Friday,10,6297,21,28,1,0,1556,0.0086
Twitter,Carousel,Wednesday,21,216361,8,252,18,8,84776,0.0021
Instagram,Text,Wednesday,17,459,25,3,0,0,234,0.0096
Twitter,Carousel,Sunday,21,1277,12,1,0,0,368,0.002
LinkedIn,Image,Wednesday,20,6823,12,526,18,37,3455,0.1325
Twitter,Text,Friday,15,32410,11,20,0,0,7693,0.0011
Instagram,Text,Tuesday,11,13339,16,88,6,6,5014,0.0091
LinkedIn,Text,Monday,15,161,24,4,0,0,65,0.0415
Twitter,Image,Tuesday,12,30610,10,34,3,1,12582,0.0017
Facebook,Text,Thursday,13,16173,2,44,3,1,3308,0.0054
LinkedIn,Video,Sunday,7,14043,5,585,64,25,6091,0.0691
Instagram,Video,Wednesday,19,1187,0,14,1,0,649,0.0178
Instagram,Video,Wednesday,4,17533,2,221,24,3,4180,0.0166
Facebook,Carousel,Friday,23,26890,7,137,10,8,3527,0.007
Instagram,Video,Wednesday,21,821035,3,15361,1197,414,192632,0.0295
TikTok,Video,Monday,20,9071,7,197,14,6,3849,0.0362
TikTok,Image,Saturday,15,4184,3,58,3,3,1612,0.0238
TikTok,Text,Friday,21,5946,26,29,2,0,3098,0.0093
Instagram,Video,Friday,23,5662,30,51,5,1,1049,0.012
LinkedIn,Text,Sunday,14,52206,6,1724,162,41,24438,0.0418
TikTok,Carousel,Saturday,10,1467,14,25,0,0,245,0.0262
Instagram,Text,Friday,17,292090,24,1103,117,68,88871,0.0071
Twitter,Text,Tuesday,8,9226,17,6,0,0,1852,0.001
Instagram,Video,Friday,9,24675,9,312,28,12,11273,0.0187
Facebook,Image,Monday,18,757,27,2,0,0,311,0.0064
Instagram,Text,Sunday,18,2158,27,12,1,0,1292,0.0092
Facebook,Carousel,Wednesday,18,9021,23,57,3,3,1401,0.0084
Facebook,Video,Sunday,19,4267,22,21,1,1,1584,0.0071
Instagram,Video,Wednesday,22,1384,13,13,1,0,234,0.017
Instagram,Video,Thursday,15,49387,11,624,23,10,25692,0.0243
Twitter,Video,Friday,23,365140,12,377,22,24,37359,0.002
TikTok,Image,Monday,20,7345,14,207,17,2,4086,0.0364
Instagram,Image,Thursday,12,5730,17,71,2,4,1083,0.0182
Twitter,Video,Saturday,20,1086,9,1,0,0,542,0.0023
TikTok,Image,Monday,3,382655,2,3448,244,161,122595,0.0123
